id,heya,birthDate,shusshin,debut,height,weight,currentRank
2128,Kokonoe,1949-08-12T00:00:00Z,"Hokkaido, Matsumae-gun, Matsumae-cho",196703,185.0,87.0,
3728,Kasugayama,1977-07-01T00:00:00Z,"Korea, Incheon",199811,184.0,150.0,
1508,Kokonoe,1959-05-14T00:00:00Z,"Hokkaido, Okushiri-gun, Okushiri-cho",197505,182.0,79.0,
8831,-,0001-01-01T00:00:00Z,-,195907,,,
3392,Tatsunami,1993-07-08T00:00:00Z,"Ibaraki-ken, Joso-shi",200903,171.5,126.5,
5067,Futagoyama,1976-12-17T00:00:00Z,"Oita-ken, Nakatsu-shi",199203,180.7,101.5,
8147,Dewanoumi,1943-07-26T00:00:00Z,"Tochigi-ken, Shimotsuga-gun, Tsuga-machi",196105,,,
2849,Sadogatake,1951-06-15T00:00:00Z,"Kagawa-ken, Takamatsu-shi",196509,174.0,82.0,
7944,Oyama,1954-08-27T00:00:00Z,"Hokkaido, Sapporo-shi",197001,176.0,84.0,
1764,Hanakago,1953-04-05T00:00:00Z,"Akita-ken, Minamiakita-gun, Iitagawa-machi",196907,179.0,90.0,
6470,Takasago,0001-01-01T00:00:00Z,-,198603,,,
8268,Dewanoumi,1944-04-07T00:00:00Z,"Hokkaido, Setana-gun, Kitahiyama-cho",196001,,,
7260,Sadogatake,1963-11-21T00:00:00Z,"Hyogo-ken, Kobe-shi, Higashinada-ku",198009,182.0,82.0,
850,Kagamiyama,1958-02-17T00:00:00Z,"Tokyo-to, Edogawa-ku",197303,177.0,123.5,
7715,-,0001-01-01T00:00:00Z,-,195403,,,
5912,Nakamura,1974-04-06T00:00:00Z,"Tokyo-to, Hamura-shi",199303,179.0,83.0,
4532,Takasago,1987-10-02T00:00:00Z,"Osaka-fu, Suita-shi",200805,181.0,68.0,
8502,-,0001-01-01T00:00:00Z,-,196307,,,
4810,Irumagawa,1982-01-08T00:00:00Z,"Kyoto-fu, Kyoto-shi, Shimogyo-ku",200207,191.0,92.0,
6864,Isegahama,1966-07-18T00:00:00Z,"Ibaraki-ken, Kasama-shi",198203,171.0,99.0,
7509,Takasago,0001-01-01T00:00:00Z,Hokkaido,195609,,,
5694,Sadogatake,1979-09-29T00:00:00Z,"Saga-ken, Tosu-shi",199503,173.5,137.0,
7868,-,0001-01-01T00:00:00Z,-,197303,,,
4426,Shibatayama,1987-03-27T00:00:00Z,"Mie-ken, Ueno-shi",200203,174.5,99.9,
1646,Hanakago,1954-09-12T00:00:00Z,"Fukuoka-ken, Ukiha-gun, Konan-mura",196711,180.0,90.0,
4817,Irumagawa,1975-09-09T00:00:00Z,"Aichi-ken, Nagoya-shi",199309,173.5,117.0,
5169,Takashima,1978-11-19T00:00:00Z,"Aichi-ken, Kasugai-shi",199403,179.0,117.5,
969,Sadogatake,1952-09-24T00:00:00Z,"Hokkaido, Kawakami-gun, Deshikaga-cho",196711,186.0,105.0,
1095,Oshima,1962-01-06T00:00:00Z,"Tokyo-to, Katsushika-ku",198003,176.0,78.0,
1256,Kataonami,1957-07-25T00:00:00Z,"Kyoto-fu, Kyoto-shi, Fushimi-ku",197511,180.0,100.0,
7641,-,0001-01-01T00:00:00Z,-,195603,,,
6356,Oshima,1972-08-16T00:00:00Z,"Aomori-ken, Kitatsugaru-gun, Kodomari-mura",198803,175.0,77.0,
5065,Kokonoe,1974-06-07T00:00:00Z,"Tokyo-to, Ota-ku",199301,179.0,123.5,
2712,Dewanoumi,1945-03-22T00:00:00Z,"Hiroshima-ken, Hiroshima-shi",196301,,,
783,Tatsutagawa,1962-06-30T00:00:00Z,"Chiba-ken, Inba-gun, Shiroi-cho",197803,174.3,124.0,
8128,Nishonoseki,1940-12-16T00:00:00Z,"Hokkaido, Hiroo-gun, Hiroo-cho",196011,,,
299,Minato,1991-07-13T00:00:00Z,"Gunma-ken, Takasaki-shi",200703,176.0,103.5,Jonidan 14 East
389,Takadagawa,1989-05-24T00:00:00Z,"Kanagawa-ken, Odawara-shi",200701,178.5,144.6,
3207,Shikoroyama,1986-12-30T00:00:00Z,"Osaka-fu, Moriguchi-shi",200503,182.0,105.5,
706,Onoe,1994-11-12T00:00:00Z,"Kumamoto-ken, Amakusa-shi",201003,180.0,152.0,
3043,Dewanoumi,1942-08-07T00:00:00Z,"Fukui-ken, Ono-gun, Nishitani-mura",195903,,,
4536,Azumazeki,1987-06-24T00:00:00Z,"Kyoto-fu, Kyoto-shi, Nishikyo-ku",200305,170.0,95.5,
2984,Sadogatake,1942-11-20T00:00:00Z,"Fukuoka-ken, Kurume-shi",196101,,,
4643,Shikoroyama,1990-07-21T00:00:00Z,"Mie-ken, Yokkaichi-shi",200703,170.0,114.0,
8805,-,0001-01-01T00:00:00Z,-,196007,,,
6165,Kasugano,1958-04-25T00:00:00Z,"Aichi-ken, Nagoya-shi, Nakagawa-ku",198103,180.0,142.0,
6278,Oguruma,1970-10-16T00:00:00Z,"Miyagi-ken, Kesennuma-shi",198703,186.0,76.7,
3504,Hanakago,1984-04-02T00:00:00Z,"Nagano-ken, Shimotakai-gun, Kijimadaira-mura",200003,184.0,129.0,
1510,Dewanoumi,1954-12-14T00:00:00Z,"Saitama-ken, Koshigaya-shi",196905,179.0,125.0,
4706,Michinoku,1975-04-27T00:00:00Z,"Shizuoka-ken, Susono-shi",199707,178.0,106.0,
2380,Tokitsukaze,1951-02-18T00:00:00Z,"Yamaguchi-ken, Onoda-shi",196603,189.4,99.5,
8832,-,0001-01-01T00:00:00Z,-,195805,,,
835,Taiho,1960-04-23T00:00:00Z,"Hokkaido, Kitami-shi",197703,175.4,73.0,
36,Sakaigawa,1986-10-22T00:00:00Z,"Hyogo-ken, Takasago-shi",200905,187.0,140.2,Juryo 1 West
4241,Azumazeki,1998-05-07T00:00:00Z,"Miyazaki-ken, Nobeoka-shi",201403,180.0,115.0,
4812,Tamanoi,1983-02-16T00:00:00Z,"Fukuoka-ken, Fukuoka-shi",200111,183.0,114.0,
6824,Kasugano,1965-05-05T00:00:00Z,"Tokyo-to, Katsushika-ku",198403,183.0,163.0,
8321,Oyama,1940-01-03T00:00:00Z,"Aichi-ken, Nagoya-shi, Kita-ku",195907,,,
5509,Kitanoumi,1973-01-29T00:00:00Z,"Aichi-ken, Anjo-shi",198805,171.7,104.5,
5875,Minato,1977-03-24T00:00:00Z,"Aomori-ken, Kamikita-gun",199305,170.0,81.4,
6561,Miyagino,1967-08-27T00:00:00Z,"Ibaraki-ken, Koga-shi",198307,176.0,93.0,
4493,Tokitsukaze,1991-05-29T00:00:00Z,"Miyagi-ken, Sendai-shi, Aoba-ku",201003,178.0,145.0,
5821,Takasago,1969-11-10T00:00:00Z,"Nagano-ken, Kitasaku-gun, Miyota-machi",198703,188.4,131.5,
5437,Nakamura,1972-01-23T00:00:00Z,"Fukuoka-ken, Amagi-shi",198703,180.0,132.0,
6717,Taiho,0001-01-01T00:00:00Z,-,198603,,,
3842,Takasago,1974-07-04T00:00:00Z,"Chiba-ken, Ichikawa-shi",199101,189.5,170.4,
3836,Futagoyama,1967-09-28T00:00:00Z,"Fukuoka-ken, Fukuoka-shi, Hakata-ku - Hyogo-ken, Kobe-shi",198303,181.0,139.0,
1412,Izutsu,1960-11-10T00:00:00Z,"Tokyo-to, Katsushika-ku",197905,173.0,150.0,
6874,Takasago,1966-12-16T00:00:00Z,"Kanagawa-ken, Chigasaki-shi",198203,172.0,93.0,
8837,Nishonoseki,0001-01-01T00:00:00Z,Oita-ken,195803,,,
4844,Naruto,1980-08-28T00:00:00Z,"Nagano-ken, Suzaka-shi",200003,184.0,106.0,
8785,-,0001-01-01T00:00:00Z,-,196011,,,
6910,Oshima,1963-02-21T00:00:00Z,"Shizuoka-ken, Numazu-shi",198007,174.0,86.0,
3513,Tomozuna,1980-04-28T00:00:00Z,"Osaka-fu, Osaka-shi, Hirano-ku",199603,177.0,88.8,
5855,Izutsu,1963-06-27T00:00:00Z,"Tokyo-to, Suginami-ku",198203,182.0,129.5,
5189,Sadogatake,1964-12-04T00:00:00Z,"Tokyo-to, Suginami-ku",198203,176.0,127.0,
2206,Mihogaseki,1943-03-18T00:00:00Z,"Nagasaki-ken, Kitamatsuura-gun, Uku-machi",196007,191.2,107.0,
3193,Kise,1984-05-13T00:00:00Z,"Mie-ken, Matsusaka-shi",200703,192.0,214.0,
6716,Asahiyama,0001-01-01T00:00:00Z,-,198603,,,
3341,Arashio,1986-02-17T00:00:00Z,"Ishikawa-ken, Kanazawa-shi",200811,174.5,107.5,
930,Tatsunami,1955-04-02T00:00:00Z,"Toyama-ken, Toyama-shi",197009,180.0,105.0,
1438,Tokitsukaze,1962-10-14T00:00:00Z,"Hokkaido, Tokachi-gun, Urahoro-cho",197803,173.0,104.0,
3146,Tatsunami,2001-11-20T00:00:00Z,"Hyogo-ken, Tatsuno-shi",202003,178.0,130.0,
8328,Nishonoseki,1944-07-01T00:00:00Z,"Osaka-fu, Osaka-shi, Nishinari-ku",196101,,,
6496,Sadogatake,1964-10-14T00:00:00Z,"Kumamoto-ken, Kumamoto-shi",198107,184.5,104.0,
4630,Taiho,1980-11-12T00:00:00Z,Osaka-fu,200011,171.0,102.5,
3344,Kasugano,1989-01-29T00:00:00Z,"Kochi-ken, Aki-shi",200703,186.0,153.0,
3828,Matsugane,1973-02-13T00:00:00Z,"Chiba-ken, Ichikawa-shi - Wakayama-ken, Wakayama-shi",199511,172.0,159.5,
2994,Tatsunami,1935-02-05T00:00:00Z,"Hokkaido, Sorachi-gun, Furano-cho",195501,,,
5698,Matsugane,1975-07-06T00:00:00Z,"Tottori-ken, Tottori-shi",199103,181.0,94.2,
3561,Isegahama,1980-12-25T00:00:00Z,"Saitama-ken, Asaka-shi - Akita-ken, Kitaakita-gun, Takanosu-machi",199603,183.0,123.0,
3773,Magaki,1984-07-23T00:00:00Z,"Okinawa-ken, Nago-shi",200003,174.0,77.0,
5035,Magaki,1979-04-23T00:00:00Z,"Ibaraki-ken, Taga-gun",199909,188.5,98.5,
6167,Sadogatake,1975-07-16T00:00:00Z,"Gunma-ken, Numata-shi",199103,194.0,95.0,
4849,Mihogaseki,1974-02-17T00:00:00Z,"Saga-ken, Ogi-gun, Ashikari-cho",199111,183.0,123.0,
5830,Futagoyama,1979-10-20T00:00:00Z,"Aomori-ken, Kamikita-gun",199503,175.0,125.0,
3578,Kasugano,1979-05-31T00:00:00Z,"Oita-ken, Minamiamabe-gun, Naokawa-son",199609,183.5,100.0,
6677,Musashigawa,1968-06-05T00:00:00Z,"Hokkaido, Sapporo-shi, Chuo-ku",198403,180.5,79.0,
7897,Tokitsukaze,1955-11-13T00:00:00Z,"Tokyo-to, Katsushika-ku",197107,184.0,75.0,
3185,Nishikido,1999-05-11T00:00:00Z,"Kanagawa-ken, Yokosuka-shi",201809,179.0,136.0,
2212,Takashima,1955-04-07T00:00:00Z,"Aomori-ken, Sannohe-gun, Takko-machi",197105,,,
275,Naruto,2000-05-11T00:00:00Z,"Yamanashi-ken, Hokuto-shi",201603,168.0,123.0,Sandanme 84 West
7195,Matsugane,1975-04-25T00:00:00Z,"Hokkaido, Shibetsu-shi",199303,177.5,105.0,
3793,Miyagino,1981-06-22T00:00:00Z,"Osaka-fu, Minoo-shi",200003,174.0,122.3,
6664,Kasugano,1970-03-01T00:00:00Z,"Fukuoka-ken, Fukuoka-shi, Jonan-ku",198503,174.0,102.0,
6484,Tatsutagawa,0001-01-01T00:00:00Z,-,198701,,,
6752,Ajigawa,1965-07-19T00:00:00Z,"Saitama-ken, Yono-shi",198403,175.0,80.0,
7098,Kokonoe,1984-06-12T00:00:00Z,"Aichi-ken, Handa-shi",200003,181.0,123.0,
614,Takadagawa,2004-06-17T00:00:00Z,"Tokyo-to, Fuchu-shi",202301,177.0,93.0,Jonidan 48 East
4583,Arashio,1983-02-12T00:00:00Z,"Hyogo-ken, Kobe-shi, Chuo-ku",200509,175.0,132.0,
4380,Onoe,1981-07-16T00:00:00Z,"Kumamoto-ken, Uto-shi",200403,173.0,130.9,
5160,Hatachiyama,1979-06-17T00:00:00Z,"Miyazaki-ken, Miyakonojo-shi",199603,174.2,116.0,
5230,Tatsunami,1969-10-25T00:00:00Z,"Hokkaido, Shari-gun, Shari-cho",198503,192.0,190.0,
8035,Isegahama,1948-11-18T00:00:00Z,"Kyoto-fu, Kyoto-shi, Sakyo-ku",196511,,,
4539,Takanohana,1992-07-17T00:00:00Z,"Ehime-ken, Ozu-shi",200807,182.0,120.0,
3636,Kitanoumi,1981-02-11T00:00:00Z,"Miyazaki-ken, Kitamorokata-gun, Takajo-cho - Miyazaki-ken, Miyakonojo-shi",199603,185.0,136.0,
1748,Taiho,1956-08-25T00:00:00Z,"Miyazaki-ken, Miyazaki-gun, Sadowara-cho",197205,178.0,85.0,
7781,-,0001-01-01T00:00:00Z,-,195705,,,
1192,Taiho,1956-11-28T00:00:00Z,"Hokkaido, Sapporo-shi, Kita-ku",197111,173.0,140.0,
7313,Sadogatake,0001-01-01T00:00:00Z,-,197803,,,
4903,Onomatsu,1982-03-03T00:00:00Z,"Fukuoka-ken, Kaho-gun, Inatsuki-machi",199703,181.6,134.0,
27,Hakkaku,1992-07-15T00:00:00Z,"Saitama-ken, Tokorozawa-shi",201503,182.0,158.0,Maegashira 11 West
7090,Takadagawa,0001-01-01T00:00:00Z,-,198603,,,
6104,Michinoku,1978-02-03T00:00:00Z,"Osaka-fu, Daito-shi",199303,185.0,105.0,
4738,Kokonoe,1987-07-01T00:00:00Z,"Ibaraki-ken, Sashima-gun, Sowa-machi",200305,175.0,85.0,
3270,Sakaigawa,1993-01-07T00:00:00Z,"Nagasaki-ken, Minamimatsuura-gun, Shinkamigoto-cho",200803,175.0,127.0,
3153,Miyagino,1986-07-16T00:00:00Z,"Tochigi-ken, Nasushiobara-shi",200503,169.0,121.0,
7013,Onaruto,1967-08-25T00:00:00Z,"Tokyo-to, Katsushika-ku",198303,178.0,115.0,
7593,-,0001-01-01T00:00:00Z,-,195405,,,
6480,Ajigawa,1966-12-10T00:00:00Z,"Hokkaido, Hiroo-gun, Hiroo-cho",198203,180.2,160.0,
3474,Takasago,1985-08-27T00:00:00Z,"Kochi-ken, Kochi-shi",200103,173.0,110.0,
2923,Tatsunami,1946-11-18T00:00:00Z,"Niigata-ken, Higashikanbara-gun, Tsugawa-machi",196507,,,
7308,Kagamiyama,1962-01-01T00:00:00Z,"Akita-ken, Yuri-gun, Kisakata-machi",197709,,,
5398,Onomatsu,1979-12-27T00:00:00Z,"Ehime-ken, Iyo-shi",199607,,,
7397,-,0001-01-01T00:00:00Z,-,195503,,,
1713,Dewanoumi,1961-09-06T00:00:00Z,"Tokyo-to, Kita-ku",197703,180.5,97.0,
753,Tatsutagawa,1958-04-12T00:00:00Z,"Ibaraki-ken, Niihari-gun, Yasato-machi",197505,170.0,100.0,
5283,Onomatsu,1980-01-08T00:00:00Z,"Kanagawa-ken, Yokosuka-shi",199503,174.6,109.5,
2121,Dewanoumi,1947-07-09T00:00:00Z,"Hyogo-ken, Akashi-shi",196303,178.0,89.0,
3923,Sadogatake,1978-01-16T00:00:00Z,"Tokyo-to, Chofu-shi",199303,177.0,138.0,
733,Futagoyama,1963-10-31T00:00:00Z,"Hyogo-ken, Kobe-shi, Ikuta-ku - Hyogo-ken, Kobe-shi, Chuo-ku",197903,189.0,139.0,
2287,Tokitsukaze,1952-10-16T00:00:00Z,"Saga-ken, Kashima-shi",197003,170.0,74.0,
8451,-,0001-01-01T00:00:00Z,-,196203,,,
2004,Hanakago,1952-05-05T00:00:00Z,"Akita-ken, Minamiakita-gun, Iitagawa-machi",196705,182.0,84.0,
8457,-,0001-01-01T00:00:00Z,-,196301,,,
4055,Izutsu,1977-06-19T00:00:00Z,"Kagoshima-ken, Kagoshima-shi",199303,181.0,143.0,
7142,Sadogatake,0001-01-01T00:00:00Z,-,198411,,,
2076,Tatsunami,1959-04-28T00:00:00Z,"Niigata-ken, Nishikubiki-gun, Oumi-machi",197403,,,
8342,Miyagino,1941-01-12T00:00:00Z,"Fukushima-ken, Fukushima-shi",195803,,,
5458,Minato,1970-04-04T00:00:00Z,"Aichi-ken, Konan-shi",198603,186.0,153.0,
5687,Oshima,1980-07-24T00:00:00Z,Mie-ken,199605,179.0,75.0,
1693,Oshiogawa,1962-01-27T00:00:00Z,"Saga-ken, Fujitsu-gun, Shiota-cho",197803,176.0,78.0,
1195,Izutsu,1959-12-24T00:00:00Z,"Kagoshima-ken, So-gun, Shibushi-cho",197705,188.0,142.0,
8253,Tokitsukaze,1940-01-10T00:00:00Z,"Tokushima-ken, Itano-gun, Aizumi-cho",195809,,,
6189,Wakamatsu,1970-11-23T00:00:00Z,Kochi-ken,199205,181.0,116.0,
6205,Musashigawa,1976-03-17T00:00:00Z,"Aichi-ken, Nagoya-shi, Kita-ku",199103,174.0,134.0,
3495,Takasago,1982-10-21T00:00:00Z,"Miyagi-ken, Tome-gun, Hasama-cho",200103,173.0,77.0,
7630,Izutsu,1939-01-25T00:00:00Z,"Aomori-ken, Misawa-shi",195603,,,
840,Dewanoumi,1963-01-22T00:00:00Z,"Hyogo-ken, Awaji-shima",197803,178.0,133.0,
2659,Dewanoumi,1942-05-12T00:00:00Z,"Fukushima-ken, Koriyama-shi",195903,177.0,96.4,
6586,Dewanoumi,1965-10-28T00:00:00Z,"Saga-ken, Ogi-gun, Mikatsuki-cho",198111,178.0,95.0,
5178,Oshima,1978-07-04T00:00:00Z,"Osaka-fu, Ikeda-shi",199403,183.0,132.0,
5137,Hatachiyama,1976-06-11T00:00:00Z,"Hyogo-ken, Mikata-gun, Hamasaka-cho",199509,187.0,134.0,
5579,Sadogatake,1970-11-21T00:00:00Z,"Yamanashi-ken, Tsuru-shi",198603,181.3,128.0,
1394,Tokitsukaze,1930-03-03T00:00:00Z,"Hokkaido, Muroran-shi",194706,185.0,108.0,
2164,Dewanoumi,1946-05-27T00:00:00Z,"Miyazaki-ken, Miyakonojo-shi",196901,178.0,115.0,
6712,Oshima,0001-01-01T00:00:00Z,-,198605,,,
3406,Yamahibiki,1998-01-17T00:00:00Z,"Shizuoka-ken, Iwata-shi",201303,182.0,107.4,
4950,Taiho,1980-06-06T00:00:00Z,"Tokyo-to, Koto-ku",199901,180.0,102.0,
327,Sakaigawa,1986-05-27T00:00:00Z,"Kagoshima-ken, Oshima-gun, Uken-son",200503,166.0,123.0,Jonokuchi 2 West
5977,Izutsu,1976-10-03T00:00:00Z,Osaka-fu,199405,178.0,75.0,
595,Shikihide,1978-10-02T00:00:00Z,"Ibaraki-ken, Tsuchiura-shi",199403,178.0,139.5,Jonokuchi 1 West
6930,Sadogatake,1986-07-12T00:00:00Z,"Gunma-ken, Maebashi-shi",200203,178.0,145.0,
1274,Tatsutagawa,1956-02-05T00:00:00Z,"Miyazaki-ken, Higashimorokata-gun, Kunitomi-cho",197405,188.0,89.0,
1253,Onaruto,1961-08-16T00:00:00Z,"Aichi-ken, Nagoya-shi, Moriyama-ku",198001,178.0,100.0,
6090,Oshima,1975-09-02T00:00:00Z,"Hyogo-ken, Tatsuno-shi",199103,173.0,99.0,
6014,Wakamatsu,1978-07-30T00:00:00Z,"Tokyo-to, Edogawa-ku",199403,175.0,121.0,
3312,Tamanoi,2002-09-25T00:00:00Z,"Chiba-ken, Chiba-shi, Chuo-ku",201803,174.0,110.0,
4771,Takasago,1984-01-17T00:00:00Z,"Fukuoka-ken, Onojo-shi",200301,173.0,130.0,
1504,Kasugano,1947-10-02T00:00:00Z,"Aomori-ken, Minamitsugaru-gun, Inakadate-mura",196303,176.0,109.0,
7566,-,0001-01-01T00:00:00Z,-,195603,,,
4416,Arashio,1988-05-18T00:00:00Z,"Ehime-ken, Matsuyama-shi",200403,173.0,104.4,
4088,Minezaki,1988-04-02T00:00:00Z,"Aomori-ken, Sannohe-gun, Hashikami-cho",200509,170.0,112.0,
5492,Hanaregoma,1974-06-04T00:00:00Z,"Yamaguchi-ken, Oshima-gun, Oshima-cho",199003,172.0,109.5,
6911,-,0001-01-01T00:00:00Z,-,195403,,,
1496,Dewanoumi,1960-05-10T00:00:00Z,"Tokyo-to, Itabashi-ku",197603,179.1,120.0,
4843,Hatachiyama,1984-04-08T00:00:00Z,Chiba-ken,200103,184.0,111.0,
3005,Nishonoseki,1940-01-13T00:00:00Z,"Nagasaki-ken, Nagasaki-shi",195903,,,
8180,-,0001-01-01T00:00:00Z,-,196307,,,
6344,Kitanoumi,1967-11-26T00:00:00Z,"Aichi-ken, Iwakura-shi",198303,176.5,93.0,
7789,-,0001-01-01T00:00:00Z,-,195709,,,
7230,Minato,0001-01-01T00:00:00Z,-,198307,,,
7315,-,0001-01-01T00:00:00Z,-,197803,,,
737,Nishonoseki,1961-08-02T00:00:00Z,"Ibaraki-ken, Tsuchiura-shi",197809,177.0,110.0,
4160,Takasago,1993-05-25T00:00:00Z,"Toyama-ken, Imizu-shi",201303,189.0,157.5,
3655,Dewanoumi,1975-08-04T00:00:00Z,"Miyagi-ken, Shibata-gun, Kawasaki-machi",199105,173.0,170.0,
4001,Kitanoumi,1977-04-18T00:00:00Z,"Saga-ken, Tosu-shi",199303,176.8,115.5,
3628,Takadagawa,1981-10-29T00:00:00Z,"Aichi-ken, Nagoya-shi, Nakagawa-ku",199703,184.5,137.0,
6391,Azumazeki,1974-01-10T00:00:00Z,"Tokyo-to, Sumida-ku",198903,174.0,102.0,
8825,-,0001-01-01T00:00:00Z,-,195805,,,
4455,Nishikido,1990-04-11T00:00:00Z,"Ibaraki-ken, Kashima-shi",200903,184.0,129.8,
1202,Hanaregoma,1960-01-22T00:00:00Z,"Fukuoka-ken, Okawa-shi",197703,177.0,187.0,
5962,Mihogaseki,1972-06-17T00:00:00Z,"Hokkaido, Asahikawa-shi",199009,172.0,133.5,
7292,Ajigawa,0001-01-01T00:00:00Z,-,198003,,,
1305,Futagoyama,1950-06-13T00:00:00Z,"Aomori-ken, Mutsu-shi",196905,180.0,96.0,
7825,-,0001-01-01T00:00:00Z,-,195801,,,
8032,-,0001-01-01T00:00:00Z,-,196207,,,
8741,-,0001-01-01T00:00:00Z,-,196005,,,
542,Tagonoura,1978-01-27T00:00:00Z,"Ehime-ken, Kawanoe-shi",199303,178.0,150.2,Jonidan 94 West
1149,Tokitsukaze,1956-05-04T00:00:00Z,"Oita-ken, Shimoge-gun, Yabakei-machi",197101,177.0,100.0,
8296,Takasago,1943-10-04T00:00:00Z,"Ehime-ken, Nishiuwa-gun, Honai-cho",195905,,,
8637,-,0001-01-01T00:00:00Z,-,195811,,,
3450,Shikihide,1989-12-04T00:00:00Z,"Aichi-ken, Nagoya-shi, Minami-ku",200709,168.0,80.6,
8826,-,0001-01-01T00:00:00Z,-,195809,,,
1243,Sadogatake,1964-02-26T00:00:00Z,"Osaka-fu, Osaka-shi, Nishinari-ku",197911,172.5,92.0,
41,Otake,2000-02-14T00:00:00Z,"Tokyo-to, Koto-ku",201801,191.0,170.0,Maegashira 4 East
7906,-,0001-01-01T00:00:00Z,-,197203,,,
5868,Futagoyama,1967-06-29T00:00:00Z,"Fukushima-ken, Higashishirakawa-gun, Tanigura-machi",198303,183.0,122.0,
3029,Tatsunami,1937-11-27T00:00:00Z,"Hyogo-ken, Amagasaki-shi",195409,173.0,83.0,
8690,-,0001-01-01T00:00:00Z,-,195905,,,
4276,Tamanoi,1992-08-16T00:00:00Z,"Iwate-ken, Oshu-shi",200803,180.0,94.0,
4273,Kokonoe,1994-07-24T00:00:00Z,"Ehime-ken, Matsuyama-shi",201005,173.0,113.5,
1453,Tatsutagawa,1956-05-23T00:00:00Z,"Akita-ken, Yuri-gun, Chokai-mura",197203,173.0,105.0,
695,Shibatayama,2000-08-17T00:00:00Z,"Kanagawa-ken, Yokohama-shi, Aoba-ku",201603,170.0,103.0,
5225,Sadogatake,1977-10-24T00:00:00Z,"Ishikawa-ken, Ishikawa-gun",199303,174.0,101.0,
2434,Kataonami,1950-08-25T00:00:00Z,"Nagasaki-ken, Nishisonogi-gun, Saikai-cho",196701,178.0,75.0,
8779,-,0001-01-01T00:00:00Z,-,195807,,,
5263,Kasugayama,1980-12-30T00:00:00Z,"Yamanashi-ken, Kofu-shi",199803,174.0,90.0,
936,Kataonami,1951-03-17T00:00:00Z,"Tochigi-ken, Imaichi-shi",196903,184.0,130.0,
833,Oshiogawa,1962-10-30T00:00:00Z,"Saitama-ken, Soka-shi",197803,173.5,107.0,
4346,Shikoroyama,1984-12-14T00:00:00Z,"Tokyo-to, Adachi-ku",200407,181.0,108.3,
1712,Kagamiyama,1961-07-29T00:00:00Z,"Aomori-ken, Shimokita-gun, Kawauchi-machi",197703,173.2,89.0,
2367,Wakamatsu,1953-01-14T00:00:00Z,"Ishikawa-ken, Kashima-gun, Kashima-machi",196909,171.0,75.0,
1557,Oyama,1963-12-26T00:00:00Z,"Chiba-ken, Nagareyama-shi",197903,180.0,118.0,
3945,Azumazeki,1986-01-31T00:00:00Z,"Aichi-ken, Ichinomiya-shi",200103,174.5,103.2,
6641,Ajigawa,1962-07-28T00:00:00Z,"Saitama-ken, Chichibu-shi",198103,176.0,100.0,
4434,Tagonoura,1992-08-20T00:00:00Z,"Tokyo-to, Taito-ku",200905,162.0,65.8,
2468,Tokitsukaze,1935-11-13T00:00:00Z,"Aomori-ken, Sannohe-gun, Kuraishi-mura",195303,182.0,120.0,
4060,Oguruma,1978-02-14T00:00:00Z,"Tokyo-to, Edogawa-ku - Hokkaido, Ishikari-shi",199303,179.0,149.0,
